#Meta data {
#Description="Threshold Checking"
#} MetaData
Observation ID,PLW 99S,PLW Pix > 20,PLW PASS,PMW 99S,PMW Pix > 20,PMW PASS,PSW 99S,PSW Pix > 20,PSW PASS,Total Pass
Integer,Float,Float,Integer,Float,Float,Integer,Float,Float,Integer,Integer
,,,,,,,,,,
,,,,,,,,,,
1342256716,2.2589889,0.0,0,3.5238855,0.0,0,5.93398,7.0,0,0
1342261691,2.0051787,0.0,0,3.4598517,0.0,0,5.779476,3.0,0,0
1342256646,2.0662243,0.0,0,4.3148875,0.0,0,7.0233393,1.0,0,0
1342229583,2.7564397,0.0,0,5.530986,0.0,0,9.015006,14.0,0,0
1342201264,2.1635914,0.0,0,4.5846314,0.0,0,7.433015,0.0,0,0
1342204947,2.286934,0.0,0,4.781975,0.0,0,8.009389,0.0,0,0
1342229222,3.7426991,1.0,0,7.8226733,17.0,0,13.805638,122.0,0,0
1342238307,4.118453,0.0,0,8.965929,1.0,0,15.107983,29.0,0,0
1342247246,3.574162,0.0,0,7.974695,0.0,0,13.451821,6.0,0,0
1342188826,1.8815535,0.0,0,4.0800757,11.0,0,6.747868,201.0,0,0
1342209287,2.206987,0.0,0,4.02424,5.0,0,6.7395725,53.0,0,0
1342255159,2.1695254,0.0,0,4.4424505,11.0,0,7.0876327,61.0,0,0
1342239791,5.884045,0.0,0,13.647345,0.0,0,23.146715,3224.0,1,1
1342265331,9.077995,0.0,0,22.645279,2611.0,1,42.548756,51848.0,1,2
1342268342,12.124945,0.0,0,27.334202,10212.0,1,42.86624,46130.0,1,2
1342230828,2.9658854,1.0,0,6.128007,49.0,0,10.487073,287.0,0,0
1342183679,1.4921368,0.0,0,3.022299,0.0,0,4.5874357,18.0,0,0
1342240303,35.558273,799.0,1,93.14023,7153.0,1,193.04053,18960.0,1,3
1342229192,23.565804,1775.0,1,61.338753,7168.0,1,120.10987,18990.0,1,3
1342203566,91.356476,2335.0,1,178.22964,7342.0,1,234.53818,21521.0,1,3
1342219987,109.04346,62742.0,1,251.16525,124903.0,1,418.50418,342095.0,1,3
1342241160,954.8829,3441.0,1,2409.0427,7125.0,1,4654.233,18941.0,1,3
1342211407,130.83972,4314.0,1,300.00974,8885.0,1,537.89716,23417.0,1,3
1342192053,263.90207,14570.0,1,704.5808,29608.0,1,1501.1086,80234.0,1,3
1342229178,243.15948,4219.0,1,632.4592,8707.0,1,1251.4467,23109.0,1,3
1342229182,294.57788,8504.0,1,806.9517,17294.0,1,1681.2623,46582.0,1,3
1342258413,2.250364,0.0,0,3.3799958,0.0,0,5.5522933,1.0,0,0
1342241109,3.221262,0.0,0,3.867833,4.0,0,6.5455484,0.0,0,0
1342229153,1.5802964,0.0,0,3.1939905,0.0,0,5.3619003,0.0,0,0
1342234880,2.669197,0.0,0,4.0910645,4.0,0,7.2854285,28.0,0,0
1342234893,2.7058704,0.0,0,4.3915324,12.0,0,7.4198346,56.0,0,0
1342238256,3.5545273,0.0,0,7.139576,0.0,0,11.838742,3.0,0,0
1342239803,5.0388722,2.0,0,11.329624,0.0,0,19.33981,987.0,1,1
1342240032,2.7994425,0.0,0,5.7423472,9.0,0,9.394799,46.0,0,0
1342229179,6.240928,0.0,0,14.089601,0.0,0,25.522112,8331.0,1,1
1342211348,4.884707,0.0,0,11.169627,4.0,0,18.449707,72.0,0,0
1342216937,6.095603,0.0,0,14.132992,0.0,0,24.885649,6596.0,1,1
1342188180,2.1663702,0.0,0,4.6144032,0.0,0,7.121457,7.0,0,0
1342230845,9.918474,0.0,0,23.763271,2703.0,1,43.32754,18972.0,1,2
1342188778,1.5831269,0.0,0,3.3626163,39.0,0,5.437413,227.0,0,0
1342226979,16.251133,142.0,1,37.32687,1606.0,1,63.827316,13504.0,1,3
1342256807,9.698989,0.0,0,23.103357,3263.0,1,40.89388,23223.0,1,2
1342255087,20.535774,37.0,0,47.11359,7185.0,1,87.41849,19010.0,1,2
1342249237,28.859411,1097.0,1,68.70144,10856.0,1,123.63671,63216.0,1,3
1342188162,36.04763,2532.0,1,78.77925,23765.0,1,119.96339,135888.0,1,3
1342239898,89.74942,13516.0,1,198.61174,27288.0,1,316.5041,73688.0,1,3
1342220862,126.792,41776.0,1,260.73642,83401.0,1,364.08862,227791.0,1,3
1342239887,90.12814,1046.0,1,237.24101,6517.0,1,502.16895,22405.0,1,3
1342203572,281.36896,4253.0,1,673.0242,8804.0,1,1152.9485,23320.0,1,3
1342203573,347.85052,4257.0,1,932.27655,8789.0,1,1836.1869,23314.0,1,3
1342192071,756.2208,10476.0,1,2038.2435,21301.0,1,4143.5103,57371.0,1,3
1342229183,539.85596,4227.0,1,1485.4004,8743.0,1,3328.6108,23193.0,1,3
1342191167,1.573904,0.0,0,2.786359,1.0,0,4.6868634,42.0,0,0
1342259437,2.1148944,0.0,0,3.5488648,1.0,0,6.17477,8.0,0,0
1342239855,2.2283387,0.0,0,4.585344,0.0,0,7.568132,4.0,0,0
1342230773,2.311518,0.0,0,4.2977777,0.0,0,6.8124337,0.0,0,0
1342200227,1.581464,0.0,0,3.5155156,0.0,0,5.2728143,1.0,0,0
1342229463,2.3820627,0.0,0,4.8585124,9.0,0,8.636323,72.0,0,0
1342213488,2.6303308,0.0,0,5.71478,0.0,0,9.333714,1.0,0,0
1342195733,2.8497937,0.0,0,6.254714,0.0,0,10.173067,0.0,0,0
1342230838,4.618969,0.0,0,10.0288725,8.0,0,16.405413,47.0,0,0
