Observation ID,PLW 99S,PLW Pix > 20,PLW PASS,PMW 99S,PMW Pix > 20,PMW PASS,PSW 99S,PSW Pix > 20,PSW PASS,Total Pass
1342239909,6921.3506,3350,1,19036.562,6969,1,46758.047,18313,1,3
1342241159,6020.313,3369,1,18451.512,6934,1,50591.062,18260,1,3
1342192101,5554.703,3746,1,16176.408,7818,1,27443.203,20313,1,3
1342227655,4602.231,4272,1,13564.845,8848,1,28102.518,23410,1,3
1342227657,4543.4995,4270,1,13473.939,8858,1,27756.13,23422,1,3
1342227735,4496.2583,4264,1,13364.023,8858,1,27746.814,23389,1,3
1342227733,4495.738,4280,1,13451.136,8876,1,27727.979,23448,1,3
1342227734,4478.6133,4275,1,13429.465,8885,1,27739.844,23469,1,3
1342227656,4478.2285,4273,1,13448.477,8846,1,27859.557,23393,1,3
1342227661,4411.4067,3330,1,13980.342,6890,1,27790.822,18116,1,3
1342227684,4400.275,3339,1,13824.739,6889,1,27620.836,18150,1,3
1342227660,4396.993,3329,1,13846.827,6895,1,27817.139,18107,1,3
1342227669,4392.7437,3326,1,13834.072,6883,1,27573.035,18110,1,3
1342227662,4386.365,3332,1,14104.944,6903,1,27731.63,18137,1,3
1342227736,4384.7275,4240,1,13472.58,8753,1,27761.223,23209,1,3
1342227658,4376.4077,4251,1,13490.735,8794,1,27773.322,23325,1,3
1342227659,4376.165,3331,1,13800.092,6897,1,27763.352,18118,1,3
1342227687,4367.5967,3337,1,13667.0625,6886,1,27698.785,18121,1,3
1342227685,4364.555,3331,1,13875.496,6881,1,27568.133,18110,1,3
1342227686,4362.2285,3334,1,13674.678,6890,1,27642.58,18123,1,3
1342227670,4358.8105,3327,1,13802.212,6886,1,27511.992,18127,1,3
1342227688,4355.4243,3329,1,13786.137,6895,1,27634.064,18175,1,3
1342227667,4350.8335,3332,1,13835.887,6887,1,27721.254,18129,1,3
1342227683,4348.685,3335,1,13746.613,6879,1,27565.178,18131,1,3
1342227664,4348.126,3333,1,13931.361,6896,1,27811.697,18131,1,3
1342227672,4344.7363,3339,1,13785.268,6909,1,27553.182,18186,1,3
1342227682,4344.686,3337,1,13711.777,6891,1,27540.906,18173,1,3
1342227674,4344.441,3327,1,13779.286,6884,1,27513.117,18138,1,3
1342227680,4342.807,3334,1,13818.359,6890,1,27600.533,18149,1,3
1342227663,4341.315,3332,1,14122.8545,6897,1,27723.465,18112,1,3
1342227668,4339.602,3329,1,13887.767,6887,1,27678.012,18130,1,3
1342227671,4338.1206,3326,1,13787.088,6891,1,27617.725,18145,1,3
1342227666,4336.661,3331,1,13911.002,6886,1,27651.252,18137,1,3
1342227681,4330.5933,3332,1,13853.936,6876,1,27464.096,18086,1,3
1342227675,4326.128,3329,1,13644.828,6881,1,27585.771,18106,1,3
1342227673,4316.087,3323,1,13792.51,6893,1,27501.705,18126,1,3
1342227665,4309.641,3327,1,13919.511,6881,1,27766.406,18104,1,3
1342227679,4276.5415,3336,1,13897.903,6897,1,27373.242,18158,1,3
1342227676,4264.8613,3330,1,13719.619,6886,1,27513.58,18123,1,3
1342227677,4257.301,3332,1,13882.337,6889,1,27526.686,18160,1,3
1342227678,4254.358,3333,1,13839.359,6889,1,27485.512,18140,1,3
1342239908,3746.287,7504,1,10745.966,15246,1,25390.467,40970,1,3
1342239930,3643.9148,11938,1,10488.211,24782,1,26478.89,64495,1,3
1342244195,3507.5388,3456,1,9330.221,7140,1,22258.47,18874,1,3
1342239977,2358.5554,7490,1,7011.7393,15280,1,17031.523,40940,1,3
1342239797,2288.4019,3412,1,6774.4346,7100,1,19346.432,16499,1,3
1342192073,2101.3474,10481,1,6325.3887,21319,1,14687.612,57378,1,3
1342204103,1923.6763,436691,1,5655.1816,859261,1,13111.898,2367403,1,3
1342239268,1919.7109,3456,1,5098.857,7206,1,11356.237,18579,1,3
1342204102,1918.831,437280,1,5636.7524,862211,1,13091.839,2366851,1,3
1342241157,1534.8927,3463,1,3709.8328,7186,1,7091.3647,19019,1,3
1342204105,1452.4512,436468,1,4069.2146,858774,1,8663.645,2366491,1,3
1342239978,1423.3724,3428,1,4212.1895,7091,1,10077.834,18725,1,3
1342244164,1202.8633,3477,1,3171.1328,7173,1,7518.7305,18977,1,3
1342204104,1164.0283,437159,1,3215.769,861930,1,6710.443,2366452,1,3
1342245134,1121.3674,3494,1,2958.1965,7184,1,6803.296,18966,1,3
1342189514,1089.7682,10471,1,2740.8198,21300,1,6096.2827,57351,1,3
1342229184,1088.5044,4228,1,3188.1628,8744,1,6580.471,23198,1,3
1342204366,1010.5123,436874,1,3053.4895,859613,1,7666.0977,2368766,1,3
