Obs. Ids,ObsMode,PropType
1342263847,3,7
1342263846,3,7
1342254465,3,7
1342254464,3,7
1342254463,3,7
1342254462,3,7
1342254461,3,7
1342254460,3,7
1342267757,3,4
1342267756,3,4
1342267755,3,4
1342267754,3,4
1342267746,3,4
1342267727,3,4
1342267726,3,4
1342267725,3,4
1342267724,3,4
1342267715,3,4
1342266671,3,4
1342263853,3,4
1342263852,3,4
1342263845,3,4
1342263844,3,4
1342263843,3,4
1342263842,3,4
1342263841,3,4
1342263840,3,4
1342263839,3,4
1342263838,3,4
1342263818,3,4
1342263817,3,4
1342257387,3,4
1342257386,3,4
1342257385,3,4
1342257384,3,4
1342257383,3,4
1342257382,3,4
1342255062,3,4
1342255061,3,4
1342255060,3,4
1342255011,3,4
1342255010,3,4
1342255009,3,4
1342255007,3,4
1342255006,3,4
1342255005,3,4
1342255004,3,4
1342255003,3,4
1342255002,3,4
1342255042,3,4
1342255041,3,4
1342255040,3,4
1342255039,3,4
1342255038,3,4
1342255037,3,4
1342254659,3,4
1342254658,3,4
1342254657,3,4
1342254656,3,4
1342254655,3,4
1342254654,3,4
1342254653,3,4
1342254652,3,4
1342254637,3,4
1342254636,3,4
1342254635,3,4
1342254634,3,4
1342254633,3,4
1342254632,3,4
1342254512,3,4
1342254511,3,4
1342254510,3,4
1342254509,3,4
1342254508,3,4
1342254507,3,4
1342254064,3,4
1342254063,3,4
1342254062,3,4
1342254061,3,4
1342254060,3,4
1342270223,2,7
1342270220,2,7
1342270216,2,7
1342268369,2,7
1342267752,2,7
1342267751,2,7
1342267744,2,7
1342267742,2,7
1342265405,2,7
1342265404,2,7
1342265403,2,7
1342265402,2,7
1342265400,2,7
1342265399,2,7
1342265398,2,7
1342265395,2,7
1342265394,2,7
1342265391,2,7
1342265390,2,7
1342265380,2,7
1342265378,2,7
1342265377,2,7
1342265376,2,7
1342265375,2,7
1342265374,2,7
1342265373,2,7
1342265372,2,7
1342265367,2,7
1342265366,2,7
1342265362,2,7
1342265360,2,7
1342265359,2,7
1342265354,2,7
1342265353,2,7
1342265341,2,7
1342265336,2,7
1342265334,2,7
1342265331,2,7
1342265327,2,7
1342265326,2,7
1342265325,2,7
1342265287,2,7
1342265286,2,7
1342266682,2,7
1342266674,2,7
1342266664,2,7
1342266663,2,7
1342266661,2,7
1342266659,2,7
1342266647,2,7
1342266634,2,7
1342266619,2,7
1342263858,2,7
1342263857,2,7
1342263855,2,7
1342263854,2,7
1342263849,2,7
1342263848,2,7
1342263807,2,7
1342261701,2,7
1342261693,2,7
1342261692,2,7
1342261690,2,7
1342261689,2,7
1342261688,2,7
1342261667,2,7
1342261644,2,7
1342261637,2,7
1342261636,2,7
1342261634,2,7
1342261633,2,7
1342261631,2,7
1342261630,2,7
1342261628,2,7
1342261627,2,7
1342261626,2,7
1342261625,2,7
1342261621,2,7
1342261614,2,7
1342261592,2,7
1342261591,2,7
1342261589,2,7
1342261588,2,7
1342261586,2,7
1342261585,2,7
1342261584,2,7
1342261582,2,7
1342261581,2,7
1342261580,2,7
1342261577,2,7
1342261574,2,7
1342261573,2,7
1342261570,2,7
1342261565,2,7
1342261564,2,7
1342261556,2,7
1342261551,2,7
1342261547,2,7
1342261529,2,7
1342261528,2,7
1342261505,2,7
1342261504,2,7
1342261502,2,7
1342261498,2,7
1342261491,2,7
1342259478,2,7
1342259472,2,7
1342259470,2,7
1342259469,2,7
1342259458,2,7
1342259457,2,7
1342259454,2,7
1342259450,2,7
1342259447,2,7
1342259443,2,7
1342259434,2,7
1342259432,2,7
1342259430,2,7
1342259428,2,7
1342259414,2,7
1342259411,2,7
1342259404,2,7
1342259402,2,7
1342259389,2,7
1342259388,2,7
1342259387,2,7
1342258427,2,7
1342258399,2,7
1342258391,2,7
1342258388,2,7
1342258379,2,7
1342258377,2,7
1342258376,2,7
1342258374,2,7
1342257377,2,7
1342257376,2,7
1342257375,2,7
1342257374,2,7
1342257367,2,7
1342256893,2,7
1342256890,2,7
1342256885,2,7
1342256883,2,7
1342256877,2,7
1342256873,2,7
1342256847,2,7
1342256843,2,7
1342256841,2,7
1342256837,2,7
1342256819,2,7
1342256816,2,7
1342256814,2,7
1342256813,2,7
1342256812,2,7
1342256810,2,7
1342256808,2,7
1342256797,2,7
1342256753,2,7
1342256745,2,7
1342256744,2,7
1342256743,2,7
1342256736,2,7
1342256734,2,7
1342256730,2,7
1342256729,2,7
1342256724,2,7
1342256705,2,7
1342256703,2,7
1342256695,2,7
1342256694,2,7
1342256692,2,7
1342256676,2,7
1342256659,2,7
1342256656,2,7
1342256646,2,7
1342256643,2,7
1342256641,2,7
1342256637,2,7
1342255228,2,7
1342255211,2,7
1342255208,2,7
1342255190,2,7
1342255185,2,7
1342255172,2,7
1342255164,2,7
1342255120,2,7
1342255113,2,7
1342255100,2,7
1342255091,2,7
1342255064,2,7
1342254640,2,7
1342254638,2,7
1342254505,2,7
1342254504,2,7
1342254503,2,7
1342254495,2,7
1342254467,2,7
1342254058,2,7
1342254051,2,7
1342254091,2,7
1342246623,2,7
1342231352,2,7
1342221902,2,7
1342244163,2,5
1342187525,2,5
1342187524,2,5
1342187523,2,5
1342187522,2,5
1342187320,2,5
1342187319,2,5
1342187262,2,5
1342187261,2,5
1342265328,2,4
1342265322,2,4
1342265321,2,4
1342265320,2,4
1342265319,2,4
1342265318,2,4
1342265315,2,4
1342265313,2,4
1342266690,2,4
1342266689,2,4
1342266687,2,4
1342266665,2,4
1342261663,2,4
1342261661,2,4
1342261660,2,4
1342261657,2,4
1342261488,2,4
1342259408,2,4
1342259407,2,4
1342259406,2,4
1342259405,2,4
1342256690,2,4
1342256689,2,4
1342256688,2,4
1342256687,2,4
1342255146,2,4
1342254643,2,4
1342254642,2,4
1342254641,2,4
1342251963,2,4
1342251955,2,4
1342249252,2,4
1342249237,2,4
1342247255,2,4
1342247254,2,4
1342246579,2,4
1342244179,2,4
1342244143,2,4
1342244197,2,4
1342244196,2,4
1342244193,2,4
1342239977,2,4
1342239931,2,4
1342239930,2,4
1342239908,2,4
1342239898,2,4
1342239815,2,4
1342239793,2,4
1342239787,2,4
1342239773,2,4
1342230844,2,4
1342230843,2,4
1342230842,2,4
1342229675,2,4
1342229674,2,4
1342229605,2,4
1342229186,2,4
1342229182,2,4
1342229180,2,4
1342229177,2,4
1342228347,2,4
1342228346,2,4
1342228345,2,4
1342228342,2,4
1342227737,2,4
1342227730,2,4
1342227729,2,4
1342227726,2,4
1342227725,2,4
1342227710,2,4
1342227708,2,4
1342227707,2,4
1342227693,2,4
1342227692,2,4
1342227691,2,4
1342227690,2,4
1342227648,2,4
1342227647,2,4
1342227646,2,4
1342227645,2,4
1342226979,2,4
1342226976,2,4
1342226627,2,4
1342226626,2,4
1342226625,2,4
