HIPE obsid,Comment,ObsMode,Notes
1342256716,SnrCrop99PSW Min #1,Small Map,Snr Range
1342261691,SnrCrop99PSW 5 #1,Small Map,Snr Range
1342256646,SnrCrop99PSW 7 #1,Large Map,Snr Range
1342229583,SnrCrop99PSW 10 #1,Small Map,Snr Range
1342201264,SnrCrop99PSW 15 #1,Small Map,Snr Range
1342204947,SnrCrop99PSW 20 #1,Small Map,Snr Range
1342229222,SnrCrop99PSW 25 #1,Small Map,Snr Range
1342238307,SnrCrop99PSW 30 #1,Small Map,Snr Range
1342247246,SnrCrop99PSW 35 #1,Small Map,Snr Range
1342188826,SnrCrop99PSW 40 #1,Large Map,Snr Range
1342209287,SnrCrop99PSW 45 #1,Small Map,Snr Range
1342255159,SnrCrop99PSW 50 #1,Small Map,Snr Range
1342239791,SnrCrop99PSW 60 #1,Small Map,Snr Range
1342265331,SnrCrop99PSW 70 #1,Large Map,Snr Range
1342268342,SnrCrop99PSW 80 #1,Large Map,Snr Range
1342230828,SnrCrop99PSW 90 #1,Large Map,Snr Range
1342183679,SnrCrop99PSW 100 #1,Large Map,Snr Range
1342240303,SnrCrop99PSW 150 #1,Small Map,Snr Range
1342229192,SnrCrop99PSW 200 #1,Small Map,Snr Range
1342203566,SnrCrop99PSW 300 #1,Small Map,Snr Range
1342219987,SnrCrop99PSW 400 #1,Large Map,Snr Range
1342241160,SnrCrop99PSW 500 #1,Small Map,Snr Range
1342211407,SnrCrop99PSW 750 #1,Small Map,Snr Range
1342192053,SnrCrop99PSW 1000 #1,Large Map,Snr Range
1342229178,SnrCrop99PSW 2000 #1,Small Map,Snr Range
1342229182,SnrCrop99PSW Max #1,Large Map,Snr Range
1342258413,SnrCrop99PSW Min #2,Small Map,Snr Range
1342241109,SnrCrop99PSW 5 #2,Small Map,Snr Range
1342229153,SnrCrop99PSW 7 #2,Small Map,Snr Range
1342234880,SnrCrop99PSW 10 #2,Small Map,Snr Range
1342234893,SnrCrop99PSW 15 #2,Small Map,Snr Range
1342238256,SnrCrop99PSW 20 #2,Small Map,Snr Range
1342239803,SnrCrop99PSW 25 #2,Large Map,Snr Range
1342240032,SnrCrop99PSW 30 #2,Small Map,Snr Range
1342229179,SnrCrop99PSW 35 #2,Small Map,Snr Range
1342211348,SnrCrop99PSW 40 #2,Small Map,Snr Range
1342216937,SnrCrop99PSW 45 #2,Small Map,Snr Range
1342188180,SnrCrop99PSW 50 #2,Large Map,Snr Range
1342230845,SnrCrop99PSW 60 #2,Small Map,Snr Range
1342188778,SnrCrop99PSW 70 #2,Large Map,Snr Range
1342226979,SnrCrop99PSW 80 #2,Large Map,Snr Range
1342256807,SnrCrop99PSW 90 #2,Small Map,Snr Range
1342255087,SnrCrop99PSW 100 #2,Small Map,Snr Range
1342249237,SnrCrop99PSW 150 #2,Large Map,Snr Range
1342188162,SnrCrop99PSW 200 #2,Large Map,Snr Range
