Obs. Ids,Instrument,AOT,Proposal
1342270338,SPIRE,Photometer,OT2_hnetzer_4
1342270337,SPIRE,Photometer,OT2_hnetzer_4
1342270333,SPIRE,Photometer,OT2_clonsdal_1
1342270332,SPIRE,Photometer,OT2_hnetzer_4
1342270331,SPIRE,Photometer,OT2_hnetzer_4
1342270330,SPIRE,Photometer,OT2_hnetzer_4
1342270329,SPIRE,Photometer,OT2_hnetzer_4
1342270328,SPIRE,Photometer,OT1_gmeeus_1
1342270327,SPIRE,Photometer,OT1_gmeeus_1
1342270324,SPIRE,Photometer,OT2_dweedman_2
1342270323,SPIRE,Photometer,OT2_dweedman_2
1342270321,SPIRE,Photometer,OT2_hgomez_3
1342270320,SPIRE,Photometer,OT2_hgomez_3
1342270319,SPIRE,Photometer,OT2_hnetzer_4
1342270318,SPIRE,Photometer,OT2_dweedman_2
1342270317,SPIRE,Photometer,OT2_dweedman_2
1342270316,SPIRE,Photometer,OT2_jdunlop_1
1342270315,SPIRE,Photometer,OT2_dweedman_2
1342270314,SPIRE,Photometer,OT2_dweedman_2
1342270313,SPIRE,Photometer,OT2_dweedman_2
1342270312,SPIRE,Photometer,OT2_dweedman_2
1342270311,SPIRE,Photometer,OT2_dweedman_2
1342270310,SPIRE,Photometer,OT2_dweedman_2
1342270309,SPIRE,Photometer,OT2_dweedman_2
1342270308,SPIRE,Photometer,OT2_jdunlop_1
1342270307,SPIRE,Photometer,OT2_ementuch_1
1342270306,SPIRE,Photometer,OT2_dweedman_2
1342270305,SPIRE,Photometer,OT2_dweedman_2
1342270304,SPIRE,Photometer,OT2_jdunlop_1
1342270303,SPIRE,Photometer,OT2_dweedman_2
1342270302,SPIRE,Photometer,OT2_dweedman_2
1342270301,SPIRE,Photometer,OT2_dweedman_2
1342270300,SPIRE,Photometer,OT2_dweedman_2
1342270299,SPIRE,Photometer,OT2_dweedman_2
1342270298,SPIRE,Photometer,OT2_dweedman_2
1342270297,SPIRE,Photometer,OT2_hnetzer_4
1342270296,SPIRE,Photometer,OT2_dweedman_2
1342270295,SPIRE,Photometer,OT2_hgomez_3
1342270294,SPIRE,Photometer,OT2_hgomez_3
1342270293,SPIRE,Photometer,OT2_dweedman_2
1342270292,SPIRE,Photometer,OT2_dweedman_2
1342270291,SPIRE,Photometer,OT2_dweedman_2
1342270290,SPIRE,Photometer,OT2_hgomez_3
1342270289,SPIRE,Photometer,OT2_jdunlop_1
1342270288,SPIRE,Photometer,OT2_dweedman_2
1342270287,SPIRE,Photometer,OT2_vwild_2
1342270286,SPIRE,Photometer,OT2_hgomez_3
1342270285,SPIRE,Photometer,OT2_hgomez_3
1342270284,SPIRE,Photometer,OT2_dweedman_2
1342270283,SPIRE,Photometer,OT2_hgomez_3
1342270282,SPIRE,Photometer,OT2_dweedman_2
1342270281,SPIRE,Photometer,OT2_dweedman_2
1342270280,SPIRE,Photometer,OT2_dweedman_2
1342270279,SPIRE,Photometer,OT2_dweedman_2
1342270278,SPIRE,Photometer,OT2_dweedman_2
1342270277,SPIRE,Photometer,OT2_dweedman_2
1342270276,SPIRE,Photometer,OT2_dweedman_2
1342270275,SPIRE,Photometer,OT2_hnetzer_4
1342270274,SPIRE,Photometer,OT2_dweedman_2
1342270273,SPIRE,Photometer,OT2_dweedman_2
1342270272,SPIRE,Photometer,OT2_dweedman_2
1342270271,SPIRE,Photometer,OT2_jdunlop_1
1342270270,SPIRE,Photometer,OT2_dpisano_1
1342270269,SPIRE,Photometer,OT2_dweedman_2
1342270268,SPIRE,Photometer,OT2_dweedman_2
1342270267,SPIRE,Photometer,OT2_dweedman_2
1342270266,SPIRE,Photometer,OT2_dweedman_2
1342270265,SPIRE,Photometer,OT2_dweedman_2
1342270264,SPIRE,Photometer,OT2_dweedman_2
1342270263,SPIRE,Photometer,OT2_jdunlop_1
1342270262,SPIRE,Photometer,OT2_dweedman_2
1342270261,SPIRE,Photometer,OT2_dweedman_2
1342270260,SPIRE,Photometer,OT2_dweedman_2
1342270259,SPIRE,Photometer,OT2_dweedman_2
1342270258,SPIRE,Photometer,OT2_hgomez_3
1342270257,SPIRE,Photometer,OT2_dweedman_2
1342270256,SPIRE,Photometer,OT2_hnetzer_4
1342270255,SPIRE,Photometer,OT2_dweedman_2
1342270254,SPIRE,Photometer,OT2_hnetzer_4
1342270253,SPIRE,Photometer,OT2_hnetzer_4
1342270252,SPIRE,Photometer,OT2_hgomez_3
1342270251,SPIRE,Photometer,OT2_dweedman_2
1342270250,SPIRE,Photometer,OT2_dweedman_2
1342270249,SPIRE,Photometer,OT2_dweedman_2
1342270248,SPIRE,Photometer,OT2_dweedman_2
1342270247,SPIRE,Photometer,OT2_hnetzer_4
1342270246,SPIRE,Photometer,OT2_dweedman_2
1342270245,SPIRE,Photometer,OT2_hgomez_3
1342270244,SPIRE,Photometer,OT2_dweedman_2
1342270243,SPIRE,Photometer,OT2_dweedman_2
1342270242,SPIRE,Photometer,OT2_hnetzer_4
1342270241,SPIRE,Photometer,OT2_dweedman_2
1342270240,SPIRE,Photometer,OT2_pmartini_1
1342270239,SPIRE,Photometer,OT2_dweedman_2
1342270238,SPIRE,Photometer,OT2_hgomez_3
1342270237,SPIRE,Photometer,OT2_hgomez_3
1342270236,SPIRE,Photometer,OT2_dweedman_2
1342270235,SPIRE,Photometer,OT2_dweedman_2
1342270234,SPIRE,Photometer,OT2_hgomez_3
1342270233,SPIRE,Photometer,OT2_dweedman_2
1342270232,SPIRE,Photometer,OT2_hgomez_3
1342270231,SPIRE,Photometer,OT2_hgomez_3
1342270230,SPIRE,Photometer,OT2_hgomez_3
1342270229,SPIRE,Photometer,OT2_hgomez_3
1342270228,SPIRE,Photometer,OT2_hgomez_3
1342270227,SPIRE,Photometer,OT2_hgomez_3
1342270226,SPIRE,Photometer,OT2_hgomez_3
1342270225,SPIRE,Photometer,OT2_hgomez_3
1342270224,SPIRE,Photometer,OT2_hgomez_3
1342270223,SPIRE,Photometer,DDT_mustdo_5
1342270222,SPIRE,Photometer,OT2_dweedman_2
1342270221,SPIRE,Photometer,OT2_pmartini_1
1342270220,SPIRE,Photometer,DDT_mustdo_5
1342270219,SPIRE,Photometer,OT2_hgomez_3
1342270218,SPIRE,Photometer,OT2_hgomez_3
1342270217,SPIRE,Photometer,OT2_hnetzer_4
1342270216,SPIRE,Photometer,DDT_mustdo_5
1342270213,SPIRE,Photometer,OT2_jdunlop_1
1342270212,SPIRE,Photometer,OT2_dweedman_2
1342270209,SPIRE,Photometer,OT2_hgomez_3
1342270203,SPIRE,Photometer,OT2_hnetzer_4
1342270201,SPIRE,Photometer,OT2_ementuch_1
1342270199,SPIRE,Photometer,OT2_clonsdal_1
1342268405,SPIRE,Photometer,OT1_ckiss_1
1342268403,SPIRE,Photometer,OT1_ckiss_1
1342268402,SPIRE,Photometer,OT1_gmeeus_1
1342268401,SPIRE,Photometer,OT1_jvieira_4
1342268400,SPIRE,Photometer,OT2_peisenha_2
1342268399,SPIRE,Photometer,OT2_peisenha_2
1342268398,SPIRE,Photometer,OT2_peisenha_2
1342268397,SPIRE,Photometer,OT2_peisenha_2
1342268396,SPIRE,Photometer,OT2_peisenha_2
1342268395,SPIRE,Photometer,OT2_peisenha_2
1342268394,SPIRE,Photometer,OT2_peisenha_2
1342268393,SPIRE,Photometer,OT2_peisenha_2
1342268392,SPIRE,Photometer,OT1_rsahai_2
1342268391,SPIRE,Photometer,OT1_rsahai_2
1342268390,SPIRE,Photometer,OT1_rsahai_2
1342268389,SPIRE,Photometer,OT1_rsahai_2
1342268388,SPIRE,Photometer,OT1_rsahai_2
1342268387,SPIRE,Photometer,OT1_rsahai_2
1342268386,SPIRE,Photometer,OT1_rsahai_2
1342268385,SPIRE,Photometer,OT1_rsahai_2
1342268384,SPIRE,Photometer,OT1_rsahai_2
1342268383,SPIRE,Photometer,OT1_rsahai_2
1342268382,SPIRE,Photometer,OT1_rsahai_2
1342268381,SPIRE,Photometer,OT1_rsahai_2
1342268380,SPIRE,Photometer,OT2_mmarengo_2
1342268379,SPIRE,Photometer,OT1_gmeeus_1
1342268378,SPIRE,Photometer,OT1_rsahai_2
1342268377,SPIRE,Photometer,OT1_rsahai_2
1342268376,SPIRE,Photometer,OT2_ablain_1
1342268375,SPIRE,Photometer,OT2_jsokolos_1
1342268370,SPIRE,Photometer,OT2_peisenha_2
1342268369,SPIRE,Photometer,DDT_mustdo_5
1342268365,SPIRE,Photometer,OT2_peisenha_2
1342268364,SPIRE,Photometer,OT2_hkaneda_2
1342268363,SPIRE,Photometer,OT2_bsmith_3
1342268362,SPIRE,Photometer,OT1_lmontier_1
1342268361,SPIRE,Photometer,OT2_clonsdal_1
1342268360,SPIRE,Photometer,OT2_kwestfal_2
1342268359,SPIRE,Photometer,OT2_kwestfal_2
1342268358,SPIRE,Photometer,OT2_kwestfal_2
1342268357,SPIRE,Photometer,OT2_kwestfal_2
1342268356,SPIRE,Photometer,OT1_abercian_1
1342268355,SPIRE,Photometer,OT1_abercian_1
1342268354,SPIRE,Photometer,OT1_abercian_1
1342268353,SPIRE,Photometer,OT2_dweedman_2
1342268352,SPIRE,Photometer,OT1_abercian_1
1342268351,SPIRE,Photometer,OT1_abercian_1
1342268350,SPIRE,Photometer,OT1_mbradfor_1
1342268348,SPIRE,Photometer,OT2_peisenha_2
1342268347,SPIRE,Photometer,OT2_mmarengo_2
1342268346,SPIRE,Photometer,OT2_mmarengo_2
1342268343,SPIRE,Photometer,OT2_clonsdal_1
1342268342,SPIRE,Photometer,OT1_gclayton_1
1342268341,SPIRE,Photometer,OT2_clonsdal_1
1342268340,SPIRE,Photometer,OT1_mhaas_2
1342268339,SPIRE,Photometer,OT2_peisenha_2
1342268338,SPIRE,Photometer,OT2_peisenha_2
1342268336,SPIRE,Photometer,OT1_abercian_1
1342268335,SPIRE,Photometer,OT1_abercian_1
1342268333,SPIRE,Photometer,OT1_abercian_1
1342268332,SPIRE,Photometer,OT2_ksu_3
1342268331,SPIRE,Photometer,OT1_lmontier_1
1342268330,SPIRE,Photometer,OT2_ulisen01_2
1342268328,SPIRE,Photometer,OT1_gmeeus_1
1342268327,SPIRE,Photometer,OT2_peisenha_2
1342268326,SPIRE,Photometer,OT1_tbell_1
1342268325,SPIRE,Photometer,OT2_mmarengo_2
1342268324,SPIRE,Photometer,OT1_gmeeus_1
1342267752,SPIRE,Photometer,DDT_mustdo_5
1342267751,SPIRE,Photometer,DDT_mustdo_5
1342267750,SPIRE,Photometer,OT1_gmeeus_1
1342267749,SPIRE,Photometer,OT1_gmeeus_1
1342267744,SPIRE,Photometer,DDT_mustdo_5
1342267742,SPIRE,Photometer,DDT_mustdo_5
1342267741,SPIRE,Photometer,DDT_mstrande_1
1342267740,SPIRE,Photometer,OT1_ckiss_1
1342267739,SPIRE,Photometer,DDT_mstrande_1
1342267737,SPIRE,Photometer,OT1_gclayton_1
1342267736,SPIRE,Photometer,OT2_mmarengo_2
1342265405,SPIRE,Photometer,DDT_mustdo_5
1342265404,SPIRE,Photometer,DDT_mustdo_5
1342265403,SPIRE,Photometer,DDT_mustdo_5
1342265402,SPIRE,Photometer,DDT_mustdo_5
1342265401,SPIRE,Photometer,OT2_peisenha_2
1342265400,SPIRE,Photometer,DDT_mustdo_5
1342265399,SPIRE,Photometer,DDT_mustdo_5
1342265398,SPIRE,Photometer,DDT_mustdo_5
1342265397,SPIRE,Photometer,OT2_peisenha_2
1342265396,SPIRE,Photometer,OT1_abercian_1
1342265395,SPIRE,Photometer,DDT_mustdo_5
1342265394,SPIRE,Photometer,DDT_mustdo_5
1342265393,SPIRE,Photometer,OT2_vcharman_2
1342265392,SPIRE,Photometer,OT1_abercian_1
1342265391,SPIRE,Photometer,DDT_mustdo_5
1342265390,SPIRE,Photometer,DDT_mustdo_5
1342265389,SPIRE,Photometer,OT2_mmarengo_2
1342265382,SPIRE,Photometer,OT1_abercian_1
1342265381,SPIRE,Photometer,DDT_mustdo_4
1342265380,SPIRE,Photometer,DDT_mustdo_5
1342265378,SPIRE,Photometer,DDT_mustdo_5
1342265377,SPIRE,Photometer,DDT_mustdo_5
1342265376,SPIRE,Photometer,DDT_mustdo_5
1342265375,SPIRE,Photometer,DDT_mustdo_5
1342265374,SPIRE,Photometer,DDT_mustdo_5
1342265373,SPIRE,Photometer,DDT_mustdo_5
1342265372,SPIRE,Photometer,DDT_mustdo_5
1342265371,SPIRE,Photometer,OT2_abaker01_2
1342265370,SPIRE,Photometer,OT2_abaker01_2
1342265369,SPIRE,Photometer,OT2_abaker01_2
1342265368,SPIRE,Photometer,OT2_abaker01_2
1342265367,SPIRE,Photometer,DDT_mustdo_5
1342265366,SPIRE,Photometer,DDT_mustdo_5
1342265365,SPIRE,Photometer,DDT_tgreve_2
1342265364,SPIRE,Photometer,DDT_tgreve_2
1342265363,SPIRE,Photometer,DDT_tgreve_2
1342265362,SPIRE,Photometer,DDT_mustdo_5
1342265361,SPIRE,Photometer,DDT_tgreve_2
1342265360,SPIRE,Photometer,DDT_mustdo_5
1342265359,SPIRE,Photometer,DDT_mustdo_5
1342265358,SPIRE,Photometer,OT2_peisenha_2
1342265357,SPIRE,Photometer,OT2_abaker01_2
1342265356,SPIRE,Photometer,OT2_peisenha_2
1342265355,SPIRE,Photometer,OT2_peisenha_2
1342265354,SPIRE,Photometer,DDT_mustdo_5
1342265353,SPIRE,Photometer,DDT_mustdo_5
1342265352,SPIRE,Photometer,OT2_peisenha_2
1342265350,SPIRE,Photometer,OT2_peisenha_2
1342265349,SPIRE,Photometer,OT2_peisenha_2
1342265348,SPIRE,Photometer,OT2_peisenha_2
1342265347,SPIRE,Photometer,OT2_peisenha_2
1342265346,SPIRE,Photometer,OT2_peisenha_2
1342265345,SPIRE,Photometer,OT2_peisenha_2
1342265343,SPIRE,Photometer,OT2_peisenha_2
1342265342,SPIRE,Photometer,OT2_peisenha_2
1342265341,SPIRE,Photometer,DDT_mustdo_5
1342265340,SPIRE,Photometer,OT2_peisenha_2
1342265339,SPIRE,Photometer,OT1_abercian_1
1342265338,SPIRE,Photometer,OT1_mhaas_2
1342265337,SPIRE,Photometer,OT2_peisenha_2
1342265336,SPIRE,Photometer,DDT_mustdo_5
1342265335,SPIRE,Photometer,OT1_abercian_1
1342265334,SPIRE,Photometer,DDT_mustdo_5
1342265331,SPIRE,Photometer,DDT_mustdo_5
1342265330,SPIRE,Photometer,OT1_maudar01_1
1342265329,SPIRE,Photometer,OT2_mmarengo_2
1342265328,SPIRE,Photometer,OT2_tbourke_3
1342265327,SPIRE,Photometer,DDT_mustdo_5
1342265326,SPIRE,Photometer,DDT_mustdo_5
1342265325,SPIRE,Photometer,DDT_mustdo_5
1342265324,SPIRE,Photometer,OT2_peisenha_2
1342265323,SPIRE,Photometer,OT2_mmarengo_2
1342265322,SPIRE,Photometer,OT2_tbourke_3
1342265321,SPIRE,Photometer,OT2_tbourke_3
1342265320,SPIRE,Photometer,OT2_tbourke_3
1342265319,SPIRE,Photometer,OT2_tbourke_3
1342265318,SPIRE,Photometer,OT2_tbourke_3
1342265317,SPIRE,Photometer,OT2_mmarengo_2
1342265316,SPIRE,Photometer,OT1_maudar01_1
1342265315,SPIRE,Photometer,OT2_tbourke_3
1342265314,SPIRE,Photometer,OT1_rsahai_2
1342265313,SPIRE,Photometer,OT2_tbourke_3
1342265312,SPIRE,Photometer,OT1_rsahai_2
1342265311,SPIRE,Photometer,OT1_rsahai_2
1342265310,SPIRE,Photometer,OT1_rsahai_2
1342265309,SPIRE,Photometer,OT1_rsahai_2
1342265308,SPIRE,Photometer,OT1_rsahai_2
1342265307,SPIRE,Photometer,OT1_rsahai_2
1342265306,SPIRE,Photometer,OT1_rsahai_2
1342265305,SPIRE,Photometer,OT1_rsahai_2
1342265304,SPIRE,Photometer,OT1_rsahai_2
1342265303,SPIRE,Photometer,OT1_rsahai_2
1342265302,SPIRE,Photometer,OT1_rsahai_2
1342265301,SPIRE,Photometer,OT1_rsahai_2
1342265300,SPIRE,Photometer,OT1_rsahai_2
1342265299,SPIRE,Photometer,OT1_rsahai_2
1342265298,SPIRE,Photometer,OT1_rsahai_2
1342265297,SPIRE,Photometer,OT1_rsahai_2
1342265296,SPIRE,Photometer,OT2_jsokolos_1
1342265295,SPIRE,Photometer,OT1_rsahai_2
1342265293,SPIRE,Photometer,OT2_mmarengo_2
1342265292,SPIRE,Photometer,OT2_jsokolos_1
1342265291,SPIRE,Photometer,OT1_rsahai_2
1342265290,SPIRE,Photometer,OT1_rsahai_2
1342265289,SPIRE,Photometer,OT1_rsahai_2
1342265288,SPIRE,Photometer,OT1_rsahai_2
1342265287,SPIRE,Photometer,DDT_mustdo_5
1342265286,SPIRE,Photometer,DDT_mustdo_5
1342266706,SPIRE,Photometer,OT2_mmarengo_2
1342266705,SPIRE,Photometer,OT1_rsahai_2
1342266704,SPIRE,Photometer,OT1_rsahai_2
1342266703,SPIRE,Photometer,OT1_rsahai_2
1342266702,SPIRE,Photometer,OT1_rsahai_2
1342266701,SPIRE,Photometer,OT1_rsahai_2
1342266700,SPIRE,Photometer,OT1_rsahai_2
1342266699,SPIRE,Photometer,OT1_rsahai_2
1342266698,SPIRE,Photometer,OT1_rsahai_2
1342266697,SPIRE,Photometer,OT1_rsahai_2
1342266696,SPIRE,Photometer,OT2_mmarengo_2
1342266695,SPIRE,Photometer,OT1_rsahai_2
1342266694,SPIRE,Photometer,OT1_rsahai_2
1342266693,SPIRE,Photometer,OT1_rsahai_2
1342266692,SPIRE,Photometer,OT1_rsahai_2
1342266691,SPIRE,Photometer,OT1_rsahai_2
1342266690,SPIRE,Photometer,OT2_tbourke_3
1342266689,SPIRE,Photometer,OT2_tbourke_3
1342266688,SPIRE,Photometer,OT2_mmarengo_2
1342266687,SPIRE,Photometer,OT2_tbourke_3
1342266686,SPIRE,Photometer,OT2_mmarengo_2
1342266685,SPIRE,Photometer,OT2_peisenha_2
1342266684,SPIRE,Photometer,OT1_lmontier_1
1342266683,SPIRE,Photometer,OT2_peisenha_2
1342266682,SPIRE,Photometer,DDT_mustdo_5
1342266679,SPIRE,Photometer,OT2_peisenha_2
1342266678,SPIRE,Photometer,OT1_abercian_1
1342266677,SPIRE,Photometer,OT1_acrocker_1
1342266676,SPIRE,Photometer,OT2_jrho01_4
1342266675,SPIRE,Photometer,OT2_peisenha_2
1342266674,SPIRE,Photometer,DDT_mustdo_5
1342266672,SPIRE,Photometer,OT2_peisenha_2
1342266669,SPIRE,Photometer,OT2_peisenha_2
1342266668,SPIRE,Photometer,OT1_mhaas_2
1342266667,SPIRE,Photometer,OT2_mmarengo_2
1342266666,SPIRE,Photometer,OT2_peisenha_2
1342266665,SPIRE,Photometer,OT2_tbourke_3
1342266664,SPIRE,Photometer,DDT_mustdo_5
1342266663,SPIRE,Photometer,DDT_mustdo_5
