Observation ID,Total Flux,Median Flux,99th Percentile Signal,Pixels > 10,Pixels > 20,Pixels > 30,Pixels > 40,Pixels > 50,Pixels > 100,Pixels > 300
3033457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1342183677,"13,098.03",1.6229501,2.342635,0,0,0,0,0,0,0
1342183678,"5,078,429",160.26294,388.29944,"29,337","29,337","29,337","29,337","29,337","27,559","1,211"
1342183679,"6,279.0557",0.7485236,1.4921368,0,0,0,0,0,0,0
1342183680,"241,570.56",18.210054,115.06306,"9,382","4,131","2,117","1,209",741,120,0
1342183681,"1,393,948.6",29.50019,53.874603,"45,069","45,048","20,711","3,831",855,5,0
1342183682,"347,137.03",7.9173384,13.233171,"7,716",12,7,5,2,0,0
1342185533,"80,141.79",3.65219,6.4657435,26,2,2,0,0,0,0
1342185534,"72,257.64",1.6665754,2.640314,9,0,0,0,0,0,0
1342185535,"768,821.56",46.998047,119.72411,"14,947","14,947","14,947","13,600","5,327",281,6
1342185536,"24,258.012",0.54120713,1.1323531,0,0,0,0,0,0,0
1342185537,"49,274.695",1.3448073,5.34878,137,73,43,35,32,18,5
1342185538,"103,572.97",1.4826022,4.9603953,0,0,0,0,0,0,0
1342185539,"8,805.772",0.5452861,1.334984,2,0,0,0,0,0,0
1342186108,"658,406.6",0.5275383,1.795529,84,54,46,38,31,16,1
1342186109,"671,012.5",0.524806,1.9220974,109,49,35,27,25,20,10
1342186110,"27,007.81",0.527495,1.1591042,0,0,0,0,0,0,0
1342186111,"206,035.81",26.518084,82.41708,"7,086","6,624","1,907",679,246,39,0
1342186112,"2,109,355",237.29686,519.7067,"8,333","8,333","8,333","8,333","8,333","8,333","1,262"
1342186113,"2,080,939.1",258.98566,547.9695,"7,850","7,850","7,850","7,850","7,850","7,850","1,848"
1342186114,"4,597.899",0.51781845,1.409832,0,0,0,0,0,0,0
1342186115,"154,192.28",14.155735,115.35309,"5,898","2,198","1,134",715,475,124,2
1342186116,"88,767.94",9.921621,15.74456,"3,996",0,0,0,0,0,0
1342186121,"6,439,604",36.294815,115.65303,"155,978","152,514","113,373","60,978","32,797","2,597",35
1342186122,"6,405,915.5",36.29522,115.98432,"155,119","150,841","112,703","60,848","32,689","2,615",36
1342186123,"379,472.53",0.79911774,1.6482196,2,1,1,0,0,0,0
1342186125,"6,121.4526",0.7477793,1.503471,0,0,0,0,0,0,0
1342186126,"84,718.48",10.735671,36.784054,"4,708",287,101,56,38,13,0
1342186127,"75,118.18",7.916089,56.527195,"2,260",486,224,125,87,12,0
1342186128,"217,679",28.023432,69.85887,"7,004","6,998","2,874",705,204,30,0
1342186233,"2,683,762.2",4.007397,10.243787,"6,998",197,16,0,0,0,0
1342186234,"2,690,391.8",4.0163403,10.265987,"7,064",194,16,0,0,0,0
1342186235,2E+07,47.301735,117.86125,"435,751","435,750","413,897","291,241","200,635","12,001",195
1342186236,2E+07,50.985744,121.323395,"435,872","435,872","426,585","325,853","224,904","15,116",204
1342186275,7E+07,125.27696,598.5859,"435,538","435,538","428,346","395,796","368,364","253,799","58,427"
1342186276,8E+07,146.17886,604.36145,"435,992","435,988","430,967","413,889","394,212","284,114","67,589"
1342186277,3E+07,32.267002,132.9772,"882,458","779,426","516,203","236,605","105,736","19,561",793
1342186278,3E+07,32.189404,133.20494,"877,373","798,779","511,190","232,140","104,730","19,546",798
1342186293,"49,688.758",1.0340699,2.2479672,80,34,25,22,20,13,4
1342186294,"379,931.56",0.79870373,1.6461568,8,0,0,0,0,0,0
1342186861,"10,434.833",1.2914447,2.3581138,0,0,0,0,0,0,0
1342186862,"5,118.317",0.622954,1.6723603,4,0,0,0,0,0,0
