Observation ID,Total Flux,Median Flux,99th Percentile Signal,Pixels > 10,Pixels > 20,Pixels > 30,Pixels > 40,Pixels > 50,Pixels > 100,Pixels > 300
3033457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1342183677,"56,561.418",3.4056761,4.987799,0,0,0,0,0,0,0
1342183678,3E+07,433.01935,"1,042.7544","58,634","58,634","58,634","58,634","58,634","58,634","51,130"
1342183679,"24,665.312",1.4236706,3.022299,6,0,0,0,0,0,0
1342183680,"1,212,257.2",42.67813,287.61002,"20,063","19,965","16,474","11,263","7,613","2,379",182
1342183681,"6,508,482.5",69.18479,123.22704,"89,822","89,822","89,822","89,822","88,927","4,716",8
1342183682,"1,571,782.4",17.895363,30.085901,"84,566","28,403",880,37,16,8,0
1342185533,"371,184.9",8.43,14.612806,"7,932",96,24,7,4,0,0
1342185534,"313,615",3.6157877,5.6875677,92,43,3,0,0,0,0
1342185535,"3,823,288.2",115.04872,310.08704,"30,137","30,137","30,137","30,137","30,137","26,184",334
1342185536,"84,903.52",0.92196,2.306784,0,0,0,0,0,0,0
1342185537,"239,689.28",2.9300573,13.940871,828,406,265,191,152,83,32
1342185538,"458,953.5",3.2531776,12.09769,"2,175",93,0,0,0,0,0
1342185539,"31,821.166",0.93941545,2.6790257,31,14,9,3,0,0,0
1342186108,"2,253,362.8",0.92500895,2.9364014,205,71,41,35,31,17,9
1342186109,"2,248,269.5",0.92387736,2.9689221,161,43,28,21,18,15,5
1342186110,"93,714.164",0.89127487,2.2993622,0,0,0,0,0,0,0
1342186111,"1,019,704.6",65.1137,177.80981,"14,477","14,477","14,477","14,477","13,462","1,070",25
1342186112,1E+07,654.9314,"1,397.3906","16,975","16,975","16,975","16,975","16,975","16,975","16,975"
1342186113,1E+07,719.8098,"1,340.766","15,891","15,891","15,891","15,891","15,891","15,891","15,891"
1342186114,"17,486.258",0.91815275,2.7036166,0,0,0,0,0,0,0
1342186115,"764,960.6",33.974384,302.00723,"14,529","12,769","9,166","5,916","4,329","1,350",148
1342186116,"427,241.97",23.602383,36.91471,"17,222","17,151","2,131",8,0,0,0
1342186121,3E+07,82.31678,270.46927,"308,468","308,468","308,467","305,204","287,796","97,837","2,227"
1342186122,3E+07,82.3164,270.7781,"306,135","306,135","306,127","302,101","285,492","97,181","2,208"
1342186123,"1,469,439.9",1.5530119,3.2834795,35,3,2,2,1,1,1
1342186125,"24,370.895",1.4256599,3.0471067,4,0,0,0,0,0,0
1342186126,"397,079.88",24.726429,76.81944,"14,448","12,824","2,635",765,460,81,14
1342186127,"334,084.78",17.596933,103.48699,"14,132","5,654","2,875","1,116",637,154,9
1342186128,"1,034,512.44",64.28635,174.54561,"14,364","14,364","14,364","14,364","14,030",942,31
1342186233,1E+07,9.118226,23.707493,"498,029","29,666","4,043",954,237,4,0
1342186234,1E+07,9.141818,23.766691,"503,378","30,116","3,968",923,236,4,1
1342186235,1E+08,115.98579,290.997,"859,411","859,411","859,411","859,411","859,411","552,948","7,099"
1342186236,1E+08,125.2243,300.83447,"857,858","857,858","857,858","857,858","857,858","621,371","8,718"
1342186275,4E+08,344.1209,"1,652.8346","859,423","859,423","859,423","859,423","859,423","797,549","469,616"
1342186276,4E+08,403.0535,"1,672.59","857,921","857,921","857,921","857,921","857,921","824,426","526,569"
1342186277,2E+08,78.12921,313.76212,"1,737,356","1,737,355","1,736,978","1,690,694","1,483,154","395,143","19,567"
1342186278,2E+08,77.62046,314.74185,"1,724,722","1,724,722","1,724,722","1,703,170","1,516,473","384,342","19,568"
1342186293,"207,481.22",2.1003907,5.065811,328,146,100,86,75,33,16
1342186294,"1,466,939.1",1.553232,3.2752604,72,26,16,12,8,0,0
1342186861,"46,524.973",2.7635663,5.394052,10,0,0,0,0,0,0
1342186862,"18,310.908",1.0359478,3.1336997,40,22,10,3,0,0,0
1342187170,"4,675,069",1.9560713,4.0485334,127,35,22,17,13,6,1
1342187171,"4,662,561",1.9514842,4.0464334,74,5,1,1,1,0,0
1342187173,"68,329.336",1.816574,12.300479,366,174,98,63,41,3,0
1342187174,"14,838.719",0.8361919,2.2105997,0,0,0,0,0,0,0
1342187175,"34,754.49",2.0547845,4.2149115,0,0,0,0,0,0,0
1342187184,"16,723.898",0.96126497,2.4795654,0,0,0,0,0,0,0
