Observation ID,Total Flux,Median Flux,99th Percentile Signal,Pixels > 10,Pixels > 20,Pixels > 30,Pixels > 40,Pixels > 50,Pixels > 100,Pixels > 300
3033457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1342183677,"224,214.97",4.991961,7.846099,103,1,0,0,0,0,0
1342183678,2E+08,909.43964,"2,243.3005","159,438","159,438","159,438","159,438","159,438","159,438","159,438"
1342183679,"85,302.12",1.7807065,4.5874357,46,18,9,5,1,0,0
1342183680,"5,999,720.5",67.45384,638.8132,"54,244","54,243","53,700","48,496","40,839","16,243","3,068"
1342183681,3E+07,116.65325,213.91081,"245,567","245,567","245,567","245,567","245,567","200,487",115
1342183682,"6,944,039.5",28.761288,50.25537,"231,082","220,297","101,266","25,344","2,491",27,12
1342185533,"1,649,244.4",13.76537,24.836332,"112,437","4,678",499,168,95,14,0
1342185534,"1,299,302.4",5.478266,9.401168,"1,403",228,155,118,86,0,0
1342185535,2E+07,205.07687,657.1635,"81,493","81,493","81,493","81,493","81,493","81,493","9,077"
1342185536,"256,729.34",0.9695035,3.3967915,28,6,2,0,0,0,0
1342185537,"1,248,560.4",4.440732,34.649303,"6,400","2,659","1,825","1,413","1,098",568,207
1342185538,"1,980,815.6",4.965705,23.652891,"14,782","5,183","1,604",380,92,1,0
1342185539,"98,990.84",1.0272318,4.329214,130,78,61,45,34,11,0
1342186108,"6,845,891",0.9914934,4.926833,"3,668",972,555,412,350,239,113
1342186109,"6,881,958",0.99606687,5.0084167,"3,678",928,519,401,346,238,107
1342186110,"285,063",0.9610212,3.4306023,30,5,1,1,1,1,0
1342186111,"4,900,723.5",119.27423,291.88788,"38,429","38,429","38,429","38,429","38,429","30,660",353
1342186112,7E+07,"1,422.5095","2,749.3677","45,075","45,075","45,075","45,075","45,075","45,075","45,075"
1342186113,7E+07,"1,549.3271","2,556.478","42,819","42,819","42,819","42,819","42,819","42,819","42,819"
1342186114,"51,194.87",0.9860647,4.339873,37,2,1,0,0,0,0
1342186115,"3,765,322.5",55.812572,700.19476,"37,928","35,306","31,871","28,188","21,268","10,247","2,076"
1342186116,"1,980,781.2",40.73424,63.12612,"46,373","46,373","46,371","26,497","6,651",2,0
1342186121,1E+08,129.3039,486.96143,"847,851","847,851","847,842","845,098","838,606","620,601","60,970"
1342186122,1E+08,129.22078,487.5313,"843,116","843,114","843,085","839,795","831,203","618,268","60,672"
1342186123,"5,339,122.5",2.027278,5.2194824,"1,145",184,73,33,18,10,6
1342186125,"85,690.88",1.796798,4.5913014,62,24,11,6,2,0,0
1342186126,"1,743,814",40.973843,121.728966,"38,376","38,373","36,516","20,968","7,336",693,58
1342186127,"1,333,644.9",27.610022,130.96117,"37,346","34,053","16,068","9,857","5,830",740,32
1342186128,"4,650,216.5",104.04869,357.48438,"38,194","38,194","38,194","38,194","38,194","21,194",551
1342186233,5E+07,14.836304,39.606323,"2,734,747","813,787","148,222","31,799","10,511",118,8
1342186234,5E+07,14.839056,39.654686,"2,737,332","836,754","152,330","32,048","10,254",112,6
1342186235,6E+08,207.84026,550.66223,"2,364,309","2,364,308","2,364,307","2,364,307","2,364,307","2,354,074","641,523"
1342186236,6E+08,225.16583,567.65936,"2,365,344","2,365,344","2,365,344","2,365,344","2,365,343","2,362,168","695,186"
1342186275,2E+09,728.7542,"3,715.0593","2,360,602","2,360,602","2,360,602","2,360,602","2,360,601","2,357,520","1,909,853"
1342186276,3E+09,860.40924,"3,736.7256","2,365,346","2,365,346","2,365,346","2,365,346","2,365,346","2,358,534","2,073,367"
1342186277,7E+08,138.4499,591.89404,"4,794,707","4,794,705","4,794,703","4,794,664","4,784,612","3,589,634","189,018"
1342186278,7E+08,136.77888,595.24176,"4,765,767","4,765,767","4,765,766","4,765,765","4,765,676","3,648,528","188,987"
1342186293,"864,305.1",2.8907387,10.278141,"2,383","1,054",677,499,422,211,82
1342186294,"5,352,508",2.0274892,5.213354,"1,313",277,134,81,60,35,3
1342186861,"188,279.64",4.1041427,8.740801,199,36,9,0,0,0,0
1342186862,"54,718.75",1.0316752,4.996139,173,110,85,67,55,20,0
1342187170,2E+07,2.665686,6.8221416,"3,990",345,142,75,51,26,5
1342187171,2E+07,2.6557755,6.770085,"4,068",490,249,147,109,57,16
1342187173,"283,274.53",2.4362936,26.846565,"1,505","1,022",747,558,445,179,7
1342187174,"44,105.465",0.8895788,3.2767959,2,0,0,0,0,0,0
1342187175,"120,645.35",2.6083653,6.2525673,18,0,0,0,0,0,0
1342187184,"48,845.664",0.9863141,3.7077699,5,0,0,0,0,0,0
1342187185,"68,374.45",1.1675963,6.1844745,233,128,97,77,71,45,8
1342187186,"185,362.3",1.287951,8.314074,960,508,303,180,76,0,0
1342187188,4E+07,8.299821,88.45466,"1,164,967","501,647","278,248","166,327","103,342","20,948",939
1342187189,4E+07,8.69533,76.57119,"1,202,105","479,449","234,330","131,077","80,001","14,836","1,223"
1342187261,"69,377.74",4.150536,7.206858,30,2,0,0,0,0,0
1342187262,"70,302.93",4.236954,7.136319,11,0,0,0,0,0,0
1342187263,"122,086.56",2.04307,6.3785067,229,122,87,63,48,12,0
1342187265,2E+07,2.1754038,6.421939,"9,461","3,562","2,327","1,706","1,319",551,30
