#Meta data {
#Description="Observation Analysis"
#} MetaData
Observation ID,Total Flux,Median Flux,99th Percentile Signal,Pixels > 10,Pixels > 20,Pixels > 30,Pixels > 40,Pixels > 50,Pixels > 100,Pixels > 300
Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
,,,,,,,,,,
,,,,,,,,,,
1342270338,20965.426,2.3231933,3.9737248,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270337,24469.125,2.7361736,4.3976703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270333,26839.83,3.0168788,5.314106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270332,10260.118,1.0887973,3.0820436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270331,10397.783,1.1041157,3.1180198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270330,10510.031,1.1430014,2.7737613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270329,10967.385,1.1838831,2.8974855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270328,705137.06,76.28175,159.40826,8753.0,8753.0,8753.0,8753.0,8721.0,887.0,9.0
1342270327,1253638.6,112.52801,631.4987,8780.0,8780.0,8779.0,8751.0,8530.0,5234.0,571.0
1342270324,19014.045,2.6338048,5.0284576,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270323,16599.904,2.2749462,5.081817,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270321,21467.45,2.3986423,4.0197086,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270320,27290.186,3.0606863,4.743387,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270319,28964.652,3.257256,4.8899636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270318,19284.15,2.5613685,5.209226,3.0,3.0,2.0,2.0,2.0,1.0,1.0
1342270317,14108.392,1.9402062,4.2157803,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1342270316,19133.86,2.1188197,3.7739995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270315,14491.261,1.9832084,4.487821,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270314,15448.327,2.1278355,4.38975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
