#Meta data {
#Description="Observation Analysis"
#} MetaData
Observation ID,Total Flux,Median Flux,99th Percentile Signal,Pixels > 10,Pixels > 20,Pixels > 30,Pixels > 40,Pixels > 50,Pixels > 100,Pixels > 300
Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
,,,,,,,,,,
,,,,,,,,,,
1342270338,81024.164,3.3961203,6.52429,25.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270337,99130.125,4.2041245,7.165971,27.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270333,115084.99,4.890087,9.124316,122.0,1.0,0.0,0.0,0.0,0.0,0.0
1342270332,32707.25,1.2889208,4.975785,19.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270331,32890.555,1.2918876,5.08029,29.0,5.0,0.0,0.0,0.0,0.0,0.0
1342270330,33897.266,1.3808697,4.511207,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270329,35758.996,1.4521886,4.6237674,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270328,2668524.8,109.35713,226.00505,23093.0,23093.0,23093.0,23093.0,23093.0,15949.0,108.0
1342270327,5603026.0,194.22826,955.6306,23216.0,23216.0,23216.0,23216.0,23213.0,20746.0,4816.0
1342270324,73762.27,3.8737543,8.754052,91.0,9.0,2.0,2.0,2.0,0.0,0.0
1342270323,62248.453,3.1475859,7.9092894,72.0,9.0,4.0,3.0,3.0,2.0,2.0
1342270321,83219.695,3.517908,6.43115,22.0,3.0,0.0,0.0,0.0,0.0,0.0
1342270320,110098.484,4.66175,7.8974967,73.0,12.0,6.0,0.0,0.0,0.0,0.0
1342270319,112526.29,4.803122,7.77818,40.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270318,72357.51,3.7232633,8.816318,88.0,4.0,1.0,1.0,1.0,0.0,0.0
1342270317,54280.926,2.7432826,7.8231277,65.0,13.0,5.0,4.0,4.0,3.0,2.0
1342270316,71669.05,2.9848375,6.273985,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1342270315,52031.637,2.6571472,7.6438093,57.0,6.0,2.0,1.0,1.0,1.0,1.0
1342270314,57680.91,2.994864,7.7113366,48.0,1.0,1.0,1.0,1.0,1.0,0.0
